         1517261 function calls (1488817 primitive calls) in 60.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.013    0.001    0.423    0.017 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:727(getmodule)
      140    0.012    0.000    0.012    0.000 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\windows.py:124(close)
  3239/15    0.012    0.000    0.706    0.047 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\module.py:1534(_call_impl)
     1691    0.011    0.000    0.012    0.000 C:\Users\ASUS\.conda\envs\env\lib\ctypes\__init__.py:391(__getitem__)
     4648    0.011    0.000    0.027    0.000 C:\Users\ASUS\.conda\envs\env\lib\tokenize.py:429(_tokenize)
107986/106767    0.011    0.000    0.018    0.000 {built-in method builtins.len}
     2010    0.011    0.000    0.271    0.000 C:\Users\ASUS\.conda\envs\env\lib\ntpath.py:625(realpath)
   706/66    0.011    0.000    0.022    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_compile.py:87(_compile)
     6822    0.011    0.000    0.013    0.000 <frozen importlib._bootstrap>:87(acquire)
    26200    0.011    0.000    0.011    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:1565(_static_getmro)
     1400    0.010    0.000    0.146    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\plotting.py:162(box_label)
     6161    0.010    0.000    0.013    0.000 C:\Users\ASUS\.conda\envs\env\lib\ntpath.py:124(splitdrive)
    12139    0.010    0.000    0.010    0.000 {built-in method _thread.allocate_lock}
     5240    0.010    0.000    0.027    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:1577(_check_class)
      729    0.010    0.000    0.010    0.000 {method '__exit__' of '_io._IOBase' objects}
     6822    0.009    0.000    0.011    0.000 <frozen importlib._bootstrap>:112(release)
      290    0.009    0.000    0.009    0.000 {built-in method _ctypes.LoadLibrary}
     1414    0.009    0.000    0.009    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\engine\results.py:486(xyxy)
     1414    0.009    0.000    0.009    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\engine\results.py:491(conf)
     3913    0.009    0.000    0.009    0.000 {built-in method torch._C._get_tracing_state}
      720    0.009    0.000    0.454    0.001 <frozen importlib._bootstrap_external>:916(get_code)
      140    0.009    0.000    0.014    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\plotting.py:113(__init__)
     5240    0.009    0.000    0.059    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:1607(getattr_static)
    15432    0.009    0.000    0.009    0.000 {built-in method builtins.hasattr}
      810    0.008    0.000    0.200    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    38895    0.008    0.000    0.012    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_parse.py:165(__getitem__)
     2047    0.008    0.000    0.095    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:693(getsourcefile)
     5909    0.008    0.000    0.008    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\module.py:1696(__getattr__)
      154    0.008    0.000   56.410    0.366 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\engine\predictor.py:214(stream_inference)
    80313    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
      114    0.007    0.000    0.007    0.000 {method 'div' of 'torch._C.TensorBase' objects}
    20594    0.007    0.000    0.007    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_parse.py:234(__next)
    33628    0.007    0.000    0.007    0.000 {method 'endswith' of 'str' objects}
       57    0.007    0.000    0.007    0.000 {method 'mul' of 'torch._C.TensorBase' objects}
     7179    0.006    0.000    0.007    0.000 {built-in method __new__ of type object at 0x00007FFB096FDC60}
     6067    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap>:58(__init__)
    14875    0.006    0.000    0.009    0.000 {method 'join' of 'str' objects}
    19600    0.006    0.000    0.008    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\checks.py:117(<genexpr>)
   562/59    0.006    0.000    0.077    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\module.py:776(_apply)
     6104    0.006    0.000    0.010    0.000 C:\Users\ASUS\.conda\envs\env\lib\ntpath.py:44(normcase)
    36934    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
      154    0.006    0.000    0.006    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
     1440    0.006    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     5211    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
     6067    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:185(cb)
    19846    0.006    0.000    0.013    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_parse.py:255(get)
  3239/15    0.006    0.000    0.706    0.047 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\module.py:1528(_wrapped_call_impl)
      224    0.006    0.000    0.006    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       78    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
  2114/14    0.005    0.000    0.010    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\numpy\core\arrayprint.py:789(recurser)
     5240    0.005    0.000    0.006    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:1568(_check_instance)
      167    0.005    0.000    0.099    0.001 C:\Users\ASUS\.conda\envs\env\lib\dataclasses.py:809(_process_class)
       14    0.005    0.000    0.398    0.028 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\models\yolo\detect\predict.py:23(postprocess)
     5790    0.005    0.000    0.010    0.000 C:\Users\ASUS\.conda\envs\env\lib\typing.py:713(__setattr__)
      721    0.005    0.000    0.008    0.000 C:\Users\ASUS\.conda\envs\env\lib\pathlib.py:64(parse_parts)
     2625    0.005    0.000    0.068    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\utils.py:561(unwrap_with_attr_name_if_wrapper)
      146    0.005    0.000    0.015    0.000 C:\Users\ASUS\.conda\envs\env\lib\enum.py:179(__new__)
    18899    0.005    0.000    0.006    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_parse.py:173(append)
       15    0.005    0.000    0.005    0.000 {method 'sigmoid' of 'torch._C.TensorBase' objects}
     2006    0.005    0.000    0.010    0.000 C:\Users\ASUS\.conda\envs\env\lib\typing.py:137(_type_check)
     1680    0.005    0.000    0.023    0.000 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\base.py:243(_cfactory)
