         1517261 function calls (1488817 primitive calls) in 60.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\mnasnet.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\_mixins.py:1(<module>)
       37    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      221    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\symbolic_helper.py:234(parse_args)
        6    0.000    0.000    0.001    0.000 C:\Users\ASUS\.conda\envs\env\lib\_strptime.py:238(pattern)
        1    0.000    0.000    0.021    0.021 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\api\typing\__init__.py:1(<module>)
       14    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
       14    0.000    0.000    0.001    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\numpy\core\fromnumeric.py:2692(max)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\_config\localization.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\context.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\ops\array_ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\output_graph.py:232(OutputGraph)
        1    0.000    0.000    0.010    0.010 C:\Users\ASUS\.conda\envs\env\lib\site-packages\google\protobuf\internal\type_checkers.py:8(<module>)
       10    0.000    0.000    0.425    0.043 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\library.py:383(impl_abstract)
        1    0.000    0.000    0.065    0.065 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\__init__.py:1(<module>)
       44    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nested\_internal\ops.py:176(wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\indexes\range.py:66(RangeIndex)
        1    0.000    0.000    1.743    1.743 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\nn\autobackend.py:618(warmup)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\shufflenetv2.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\optimizer.py:3(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\groupby\grouper.py:1(<module>)
        1    0.000    0.000    0.103    0.103 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\errors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_type_utils.py:1(<module>)
       56    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\logging\__init__.py:634(formatMessage)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\xml.py:1(<module>)
        4    0.000    0.000    0.005    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nested\_internal\nested_tensor.py:220(__torch_function__)
        1    0.000    0.000    0.044    0.044 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnxruntime\__init__.py:5(<module>)
        6    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\__init__.py:1992(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nested\_internal\sdpa.py:1(<module>)
        1    0.000    0.000    0.127    0.127 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\ops\embedding_ops.py:3(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\period.py:1(<module>)
      168    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\computation\expr.py:183(<genexpr>)
        1    0.000    0.000    0.002    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\util\version\__init__.py:8(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\groupby\generic.py:154(SeriesGroupBy)
       14    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\colorama\winterm.py:39(set_attrs)
        2    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\device_mesh.py:2(<module>)
        1    0.000    0.000    0.025    0.025 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_higher_order_ops\map.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_functorch\_aot_autograd\collect_metadata_analysis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\groupby\groupby.py:764(BaseGroupBy)
       41    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\logging\__init__.py:218(_acquireLock)
        3    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\extension.py:57(_check_cuda_version)
        1    0.000    0.000    0.040    0.040 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnxruntime\capi\_pybind_state.py:5(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\categorical.py:246(Categorical)
       80    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_numpy\_ndarray.py:84(create_method)
        2    0.000    0.000    0.000    0.000 {built-in method _make_wrapper_subclass}
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_numpy\_normalizations.py:3(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\_config\config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\string_.py:275(StringArray)
        1    0.000    0.000    0.004    0.004 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\computation\engines.py:1(<module>)
      281    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\module.py:2505(_get_name)
    27/19    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\google\protobuf\internal\builder.py:34(BuildNestedDescriptors)
        1    0.000    0.000    0.004    0.004 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\strings\accessor.py:1(<module>)
       10    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_deprecation.py:20(decorator)
       56    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\datetimelike.py:196(DatetimeLikeArrayMixin)
       10    0.000    0.000    0.004    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\library.py:460(inner)
        1    0.000    0.000    0.002    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\reshape\melt.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pytz\__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\indexes\interval.py:159(IntervalIndex)
      116    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\collections\__init__.py:419(<genexpr>)
    50/46    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\typing.py:791(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\windows.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\dtypes\missing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\hub.py:4(<module>)
        1    0.000    0.000    0.609    0.609 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\ops\roi_align.py:1(<module>)
        1    0.000    0.000    0.147    0.147 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\__init__.py:2(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\dateutil\tz\win.py:215(__init__)
       10    0.000    0.000    0.002    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\_meta_registrations.py:17(wrapper)
        1    0.000    0.000    0.608    0.608 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\dicts.py:3(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\codegen.py:1(<module>)
       28    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\numpy\core\numerictypes.py:283(issubclass_)
       44    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_jit_internal.py:589(unused)
        4    0.000    0.000    0.001    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_decomp\__init__.py:34(_add_op_to_registry)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\segmentation\fcn.py:1(<module>)
        7    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\dtypes\cast.py:1157(maybe_infer_to_datetimelike)
        1    0.000    0.000    0.006    0.006 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_numpy\fft.py:3(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\googlenet.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\detection\mask_rcnn.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\_api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\nn_module.py:3(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\dtypes\cast.py:124(maybe_convert_platform)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\internals\construction.py:1(<module>)
       18    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_ops.py:301(fallthrough)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\string_arrow.py:1(<module>)
       35    0.000    0.000    0.001    0.000 C:\Users\ASUS\.conda\envs\env\lib\ast.py:33(parse)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\formats\printing.py:1(<module>)
       57    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.006    0.006 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\alexnet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_functorch\_aot_autograd\runtime_wrappers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_numpy\_dtypes.py:3(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\bytecode_analysis.py:1(<module>)
        1    0.000    0.000    0.023    0.023 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\base.py:3(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\ASUS\.conda\envs\env\lib\site-packages\google\protobuf\text_format.py:8(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\detection\backbone_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\torch_utils.py:78(select_device)
      140    0.000    0.000    0.000    0.000 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\base.py:38(__enter__)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\google\protobuf\internal\containers.py:8(<module>)
       33    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:2055(RewriteSymbolics)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\dtypes\common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\numpy_helper.py:6(<module>)
      140    0.000    0.000    0.000    0.000 C:\Users\ASUS\Desktop\MTG_Computer_Vision_Bot\YoloInference.py:405(<lambda>)
       37    0.000    0.000    0.002    0.000 C:\Users\ASUS\.conda\envs\env\lib\dataclasses.py:770(_hash_add)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\imagenet.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\placement_types.py:3(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nested\_internal\nested_tensor.py:53(__new__)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\detection\ssd.py:1(<module>)
       56    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\multiprocessing\process.py:37(current_process)
       14    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\numpy\core\_dtype.py:330(_name_includes_bit_suffix)
        5    0.000    0.000    0.002    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:997(getsourcelines)
       92    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_compile.py:81(_combine_flags)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\_strptime.py:107(__calc_date_time)
       56    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\multiprocessing\process.py:189(name)
       11    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\numpy\core\getlimits.py:685(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\maxvit.py:1(<module>)
      204    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        7    0.000    0.000    0.000    0.000 {built-in method winreg.EnumValue}
        3    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_ops.py:248(__init__)
       75    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\_config\config.py:810(wrap)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_functorch\_aot_autograd\traced_function_transforms.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\quantization\googlenet.py:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\indexes\base.py:5319(__contains__)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\inception.py:1(<module>)
       12    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_functorch\deprecated.py:41(setup_docs)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\frame.py:683(__init__)
       10    0.000    0.000    0.424    0.042 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_library\utils.py:30(get_source)
        1    0.000    0.000    0.010    0.010 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\ops\__init__.py:1(<module>)
        1    0.000    0.000    0.014    0.014 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\transforms\__init__.py:1(<module>)
        2    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_sources.py:119(parse_def)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\_mixins.py:92(NDArrayBackedExtensionArray)
       45    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\accessor.py:110(_create_delegator_method)
        1    0.000    0.000    0.007    0.007 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\computation\eval.py:1(<module>)
       92    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\datetimelike.py:1938(TimelikeOps)
        1    0.000    0.000    0.008    0.008 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\api.py:2(<module>)
        5    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nested\_internal\ops.py:60(check_schema)
      483    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.030    0.030 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\serialization.py:5(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\distributed.py:2(<module>)
       20    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\lazy.py:91(_create_realize_and_forward)
       30    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\contextlib.py:261(helper)
        1    0.000    0.000    0.002    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\gen_proto.py:5(<module>)
        1    0.000    0.000    0.346    0.346 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\eval_frame.py:351(__call__)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\quantization\inception.py:1(<module>)
       19    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\typing.py:996(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_numpy\linalg.py:3(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\compat\pickle_compat.py:1(<module>)
      136    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_compile.py:477(_get_iscased)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\trace_rules.py:2912(<dictcomp>)
        4    0.000    0.000    0.005    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\decorators.py:195(mark_dynamic)
      362    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:2552(default)
      146    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      153    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       68    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\traceback.py:292(walk_stack)
        1    0.000    0.000    0.610    0.610 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\ops\poolers.py:1(<module>)
       28    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\contextlib.py:123(__exit__)
        6    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\construction.py:517(sanitize_array)
       14    0.000    0.000    0.000    0.000 <string>:2(__init__)
       75    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:91(ismethoddescriptor)
       33    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\_trace_wrapped_higher_order_op.py:1(<module>)
        1    0.000    0.000    0.027    0.027 C:\Users\ASUS\.conda\envs\env\lib\site-packages\google\protobuf\json_format.py:8(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\formats\info.py:1(<module>)
        1    0.000    0.000    0.097    0.097 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\_diagnostic.py:1(<module>)
       33    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\base.py:389(__init__)
      127    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_parse.py:169(__setitem__)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\reshape\concat.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\external_data_helper.py:4(<module>)
      128    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\dataclasses.py:554(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\computation\pytables.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\compat\__init__.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\ASUS\.conda\envs\env\lib\site-packages\onnx\compose.py:6(<module>)
       36    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\six.py:194(find_spec)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\squeezenet.py:1(<module>)
      120    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\computation\expr.py:196(<genexpr>)
       14    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\colorama\winterm.py:36(get_attrs)
        1    0.000    0.000    0.002    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\computation\expressions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\arrays\base.py:110(ExtensionArray)
        1    0.000    0.000    0.000    0.000 {built-in method torch.empty_strided}
       17    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\nn\tasks.py:209(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\ops\boxes.py:1(<module>)
       33    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\base.py:213(<listcomp>)
        1    0.000    0.000    0.002    0.002 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_functorch\deprecated.py:1(<module>)
        5    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\jit\_trace.py:1249(_script_if_tracing)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\datasets\lsun.py:1(<module>)
       36    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\urllib3\packages\six.py:190(find_spec)
        1    0.000    0.000    0.089    0.089 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\_internal\diagnostics\infra\_infra.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\ops\roi_pool.py:1(<module>)
       85    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\os.py:740(check_str)
        8    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\utils\_contextlib.py:69(context_decorator)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\detection\keypoint_rcnn.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        1    0.000    0.000    0.005    0.005 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\io\image.py:1(<module>)
       98    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\_strptime.py:234(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\indexes\period.py:80(PeriodIndex)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\io\parquet.py:1(<module>)
        1    0.000    0.000    0.014    0.014 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\onnx\symbolic_caffe2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\computation\align.py:1(<module>)
      249    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\typing.py:509(<genexpr>)
        2    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\_strptime.py:173(__init__)
        1    0.000    0.000    0.009    0.009 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\ops\utils.py:2(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\models\segmentation\lraspp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_functorch\_aot_autograd\dispatch_and_compile_graph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\compiled_autograd.py:1(<module>)
        5    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\pandas\core\internals\construction.py:1028(convert)
       33    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\variables\base.py:407(<listcomp>)
       20    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\distributed\_tensor\ops\utils.py:26(wrapper)
      150    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\extension.py:37(_has_ops)
       41    0.000    0.000    0.000    0.000 C:\Users\ASUS\.conda\envs\env\lib\logging\__init__.py:227(_releaseLock)
